League;Season;Home Team;Away Team;Home Goals;Away Goals;Winner;Home Points;Away Point
Premier League;2019-2020;Liverpool;Norwich;4;1;1;3;0
Premier League;2019-2020;Tottenham;Aston Villa;3;1;1;3;0
Premier League;2019-2020;C Palace;Everton;0;0;X;1;1
Premier League;2019-2020;West Ham;Man City;0;5;2;0;3
Premier League;2019-2020;Watford;Brighton;0;3;2;0;3
Premier League;2019-2020;Burnley;Southampton;3;0;1;3;0
Premier League;2019-2020;Bournemouth;Sheffield;1;1;X;1;1
Premier League;2019-2020;Newcastle;Arsenal;0;1;2;0;3
Premier League;2019-2020;Man Utd;Chelsea;4;0;1;3;0
Premier League;2019-2020;Leicester;Wolves;0;0;X;1;1
Premier League;2019-2020;Aston Villa;Bournemouth;1;2;2;0;3
Premier League;2019-2020;Southampton;Liverpool;1;2;2;0;3
Premier League;2019-2020;Man City;Tottenham;2;2;X;1;1
Premier League;2019-2020;Norwich;Newcastle;3;1;1;3;0
Premier League;2019-2020;Everton;Watford;1;0;1;3;0
Premier League;2019-2020;Arsenal;Burnley;2;1;1;3;0
Premier League;2019-2020;Brighton;West Ham;1;1;X;1;1
Premier League;2019-2020;Chelsea;Leicester;1;1;X;1;1
Premier League;2019-2020;Sheffield;C Palace;1;0;1;3;0
Premier League;2019-2020;Wolves;Man Utd;1;1;X;1;1
Premier League;2019-2020;Aston Villa;Everton;2;0;1;3;0
Premier League;2019-2020;Liverpool;Arsenal;3;1;1;3;0
Premier League;2019-2020;Norwich;Chelsea;2;3;2;0;3
Premier League;2019-2020;Man Utd;C Palace;1;2;2;0;3
Premier League;2019-2020;Sheffield;Leicester;1;2;2;0;3
Premier League;2019-2020;Watford;West Ham;1;3;2;0;3
Premier League;2019-2020;Brighton;Southampton;0;2;2;0;3
Premier League;2019-2020;Tottenham;Newcastle;0;1;2;0;3
Premier League;2019-2020;Wolves;Burnley;1;1;X;1;1
Premier League;2019-2020;Bournemouth;Man City;1;3;2;0;3
Premier League;2019-2020;Southampton;Man Utd;1;1;X;1;1
Premier League;2019-2020;Man City;Brighton;4;0;1;3;0
Premier League;2019-2020;C Palace;Aston Villa;1;0;1;3;0
Premier League;2019-2020;Newcastle;Watford;1;1;X;1;1
Premier League;2019-2020;Chelsea;Sheffield;2;2;X;1;1
