id;League;Season;Jornada;Home Team;Away Team;Home Goals;Away Goals;Home Points;Away Points;goles_ultimos_5_partidos_equipo_local;goles_ultimos_5_partidos_equipo_visitante;puntos_ultimos_5_partidos_equipo_local;puntos_ultimos_5_partidos_equipo_visitante;goles_ultimos_5_partidos_local_siendo_local;goles_ultimos_5_partidos_visitante_siendo_visitante;puntos_ultimos_5_partidos_local_siendo_local;puntos_ultimos_5_partidos_visitante_siendo_visitante;goles_en_contra_ultimos_5_partidos_equipo_local;goles_en_contra_ultimos_5_partidos_equipo_visitante;goles_en_contra_ultimos_5_partidos_local_siendo_local;goles_en_contra_ultimos_5_partidos_visitante_siendo_visitante;falta;Winner
41;LaLiga EA Sports;1970-71;6;Athletic;Sabadell;1;0;3;0;6;8;5;4;4;3;4;0;6;11;1;7;False;1
42;LaLiga EA Sports;1970-71;6;Atlético;Elche;3;1;3;0;9;6;13;4;5;0;6;0;2;5;1;3;False;1
43;LaLiga EA Sports;1970-71;6;Barcelona;Espanyol;3;0;3;0;12;2;11;5;9;1;6;3;5;3;3;1;False;1
44;LaLiga EA Sports;1970-71;6;Sporting;Valencia;0;1;0;3;4;7;4;5;3;2;3;1;11;6;3;4;False;2
45;LaLiga EA Sports;1970-71;6;Granada;Las Palmas;1;0;3;0;6;4;5;4;3;2;4;1;7;8;2;6;False;1
46;LaLiga EA Sports;1970-71;6;CD Malaga;Real Madrid;0;2;0;3;6;7;8;8;3;1;6;1;7;6;1;3;False;2
47;LaLiga EA Sports;1970-71;6;R. Sociedad;Sevilla;1;0;3;0;2;6;7;13;2;2;4;7;0;1;0;0;False;1
48;LaLiga EA Sports;1970-71;6;Zaragoza;Celta;0;0;1;1;3;7;2;7;1;2;2;0;10;7;2;5;False;0
49;LaLiga EA Sports;1970-71;7;Elche;Athletic;1;1;1;1;6;6;3;7;6;2;4;1;7;5;2;5;False;0
50;LaLiga EA Sports;1970-71;7;Espanyol;Atlético;0;0;1;1;2;11;5;15;1;4;2;7;5;2;2;1;False;0
51;LaLiga EA Sports;1970-71;7;Granada;R. Sociedad;2;0;3;0;6;3;7;9;4;0;7;3;6;0;2;0;False;1
52;LaLiga EA Sports;1970-71;7;Las Palmas;Celta;1;2;0;3;3;5;3;5;2;2;3;1;8;7;2;5;False;2
53;LaLiga EA Sports;1970-71;7;Real Madrid;Barcelona;0;1;0;3;7;14;8;13;6;3;7;5;6;4;3;2;False;2
